,course_title,course_unit,equivalent_courses,instructors,notes
ENST 22506,The Natures of the Factory Farm,100,,A. Blanchette,
ENST 23100,Environmental Law,100,"LLSO 23100,PBPL 23100",R. Lodato,
ENST 23289,Marine Ecology,100,BIOS 23289,T. Wootton,
ENST 23500,Political Sociology,100,"PBPL 23600,SOCI 30106,SOCI 20106",E. Clemens,
ENST 23900,Environmental Chemistry,100,"GEOS 23900,GEOS 33900,ENSC 23900","A. Colman, D. Archer",
ENST 24102,Environmental Politics,100,,R. Lodato,
ENST 24104,"Ecopoetics: Nature, Lyric, and Ecology",100,"ENGL 26406,GLST 24104",Joseph Moctezuma,
ENST 24701,U.S. Environmental Policy,100,"LLSO 24901,PBPL 24701",R. Lodato,
ENST 24705,"Energy: Science, Technology, and Human Usage",100,"GEOS 24705,GEOS 34705,ENSC 21100",E. Moyer,
ENST 25100,Ecological Applications to Conservation Biology,100,"BIOS 23351,ECEV 31300","C. Pfister, E. Larsen",
ENST 25300,The Planetary Footprint of Farming,100,GEOS 25300,P. Martin,
ENST 25500,Biogeography,100,"EVOL 45500,GEOG 25500,GEOG 35500,BIOS 23406","B. Patterson (odd years, lab). L., Heaney (even years, discussion)",
ENST 25900,Cultural Geography,100,"GEOG 20100,GEOG 30100",M. Mikesell,
ENST 26100,Roots of the Modern American City,100,"GEOG 26100,GEOG 36100,HIST 28900,HIST 38900",M. Conzen,This course offered in odd years.
ENST 26201,"Naturalizing Disaster: Nature, Vulnerability, and Social History",100,"ANTH 28200,ANTH 38220",M. Lycett and P. Drake,
ENST 26220,Southeast Asia and the Environmental Imagination,100,,,
ENST 26405,Nineteenth-Century Environmental Thought,100,ENGL 26405,B. Morgan,
ENST 26420,Sustainable Food Enterprise Lab,100,,T. Yifat,
ENST 26433,Practicum in Environmental Management,100,,S. Sabina,
ENST 26444,Practicum in Campus Athletics and Environment,100,PBPL 26444,S. Shaikh,
ENST 26500,Environmental Economics,100,ECON 26500,"G. Tolley, S. Shaikh",
ENST 26505,Non-Industrial Agriculture,100,"ANTH 46505,ANTH 26505",K. Morrison,
ENST 26530,"Environment, Agriculture, and Food: Economic and Policy Analysis",100,"ECON 26530,PBPL 26530,PPHA 32510",S. Shaikh,
ENST 26531,"Environment, Agriculture, and Food: Advanced Economic and Policy Analysis",100,"ECON 26540,PBPL 26531,PPHA 32520",S. Shaikh,
ENST 26701,Tropical Ecology,100,BIOS 23257,,
ENST 27100,Integrative Research Seminar: Calumet,100,,Staff,
ENST 27201,Food Security and Agriculture: Calumet,100,,K. Morrison,
ENST 27220,Environmental Management and Planning in the Calumet Region,100,,S. Shaikh,
ENST 27301,Restoration Ecology,100,,T. Massad,
ENST 27320,Topics in the Ecology of the Calumet Region,100,,A. Anastasio,
ENST 27420,"Urban Gardens: Therapeutic, Educational, and Community Building Practicum",100,,M. Mass,This course will include off-site field trips and community service/teaching commitment.
ENST 27750,"Practicum in Environment, Agriculture, and Food Policy I",100,PBPL 27750,S. Shaikh,
ENST 27751,"Practicum in Environment, Agriculture, and Food Policy II",100,PBPL 27751,S. Shaikh,
ENST 28210,Colonial Ecologies,100,"ANTH 48210,ANTH 38210,LACS 28210,ANTH 28210","M. Lycett, K. Morrison",
ENST 29000,Energy and Energy Policy,100,"CHSS 37502,ECON 26800,PBPL 29000,PPHA 39201,PSMS 39000,BPRO 29000","S. Berry, G. Tolley",
ENST 29700,Reading and Research,100,,,Students are required to submit the College Reading and Research Course Form. This course may be counted as one of the electives required for the major.
ENST 29720,Reading and Research: Calumet,100,,Staff,
ENST 29801,BA Colloquium I,100,,Staff,Required of students with fourth-year standing who are majoring in Environmental Studies.
ENST 29802,BA Colloquium II,100,,Staff,
MUSI 10100,Introduction to Western Art Music,100,,,Background in music not required. Students must confirm enrollment by attending one of the first two sessions of class. This course meets the general education requirement in the arts.
MUSI 10200,Introduction to World Music,100,CRES 10200,,Background in music not required. Students must confirm enrollment by attending one of the first two sessions of class. This course meets the general education requirement in the arts.
MUSI 10300,Introduction to Music: Materials and Design,100,,,Background in music not required. Students must confirm enrollment by attending one of the first two sessions of class. This course meets the general education requirement in the arts.
MUSI 10400,Introduction to Music: Analysis and Criticism,100,,,Background in music not required. Students must confirm enrollment by attending one of the first two sessions of class. This course meets the general education requirement in the arts.
MUSI 12100,Music in Western Civilization I: To 1750,100,"HIST 12700,SOSC 21100",A. Robertson,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
MUSI 12200,Music in Western Civilization II: 1750 to the Present,100,"HIST 12800,SOSC 21200",,Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.
MUSI 14300,Music Theory Fundamentals,100,,Various,
MUSI 15100,Harmony and Voice Leading,100,,N. Murphy,
MUSI 15200,Harmony and Voice Leading,100,,N. Murphy,
MUSI 15300,Harmony and Voice Leading,100,,N. Murphy,
MUSI 21814,Introduction to Conducting,100,,Various,
MUSI 22517,Beethoven or Bust: Musical Canon-Building in 19th c. Culture,100,,Abigail Fine,
MUSI 22900,Contemporary Opera,100,MUSI 34900,M. Ptaszynska,
MUSI 22901,Issues in Film Music,100,,B. Hoeckner,This course typically is offered in alternate years.
MUSI 23104,Jazz,100,,T. Jackson,
MUSI 23300,Introduction to the Social and Cultural Study of Music,100,,,Prior music course and ability to read music notation not required.
MUSI 23410,Music of the Middle East,100,,P. Bohlman,
MUSI 23416,Music and Globalization in Modern Latin America,100,"HIST 26116,LACS 36412,LACS 26412",P. Palomino,
MUSI 23503,Introduction to the Musical Folklore of Central Asia,100,"ANTH 25905,EEUR 23400,EEUR 33400,MUSI 33503,NEHC 30765,NEHC 20765",K. Arik,
MUSI 23509,Eurovision Song Contest,100,,P. Bohlman,
MUSI 23514,Chanson française,100,,K. Mason,
MUSI 23614,American Musics,100,,T. Jackson,
MUSI 23817,History in Practice: Musical Multiculturalism in Brazil,100,"LACS 35112,HIST 26818,HIST 36218,MUSI 33817,LACS 25112",Sergio Assad,
MUSI 23900,Rock,100,,T. Jackson,This course typically is offered in alternate years.
MUSI 23911,Jewish Music,100,MUSI 33911,P. Bohlman,
MUSI 24000,Composition Lessons,100,,Various,"Students may enroll in this course more than once as an elective, but it may be counted only once toward requirements for the music major or minor."
MUSI 24417,Making and Meaning in the American Musical,100,TAPS 28647,Thomas Christensen,
MUSI 24517,Opera in the Age of Its Mechanical Reproducibility,100,"GRMN 37717,TAPS 28422,TAPS 38422,CMST 28301,CMST 38301,MUSI 34517,GRMN 27717",D. Levin,
MUSI 25100,Analysis of Music of the Classical Period,100,,Various,This course is typically offered in alternate years.
MUSI 25200,Analysis of Nineteenth-Century Music,100,,Various,
MUSI 25217,Music Analysis: 19th Century,100,,Steve Rings,
MUSI 25300,Analysis of Twentieth-Century Music,100,,Various,This course typically is offered in alternate years.
MUSI 25514,Chamber Music,100,,Staff,
MUSI 25600,Jazz Theory and Improvisation,100,,M. Bowden,This course typically is offered in alternate years.
MUSI 25701,Introduction to Cognitive Musicology,100,MUSI 31901,L. Zbikowski,This course typically is offered in alternate years.
MUSI 25801,The Analysis of Song,100,,L. Zbikowski,This course typically is offered in alternate years.
MUSI 26100,Introduction to Composition,100,,,
MUSI 26217,Analyzing Popular Music,100,,Nancy Murphy,
MUSI 26300,Introduction to Computer Music,100,MUSI 34700,Staff,Basic Macintosh skills helpful.
MUSI 26400,Introduction to Computer Music,100,,Staff,Basic Macintosh skills helpful. This course is offered in alternate years.
MUSI 26800,Sixteenth-Century Counterpoint,100,,,This course typically is offered in alternate years.
MUSI 26817,Electronic Music Composition With Sound,100,MUSI 36817,Sam PLuta,
MUSI 26900,Eighteenth-Century Counterpoint,100,,M. Ptaszynska,This course typically is offered in alternate years.
MUSI 27100,Topics in the History of Western Music,100,,,
MUSI 27200,Topics in the History of Western Music,100,,,
MUSI 27300,Topics in the History of Western Music,100,,,
MUSI 28000,Orchestral Conducting,100,MUSI 38115,B. Schubert,"This is a 2-quarter course, and 100 units will be awarded upon completion of the final quarter."
MUSI 28500,Musicianship Skills,100,,P. Kloeckner,100 units credit is granted only after successful completion of the year's work.
MUSI 29500,Undergraduate Honors Seminar,100,,,
MUSI 29700,Independent Study in Music,100,,,Students are required to submit the College Reading and Research Consent Form.
MUSI 29900,Senior Essay or Composition,100,,,Students are required to submit the College Reading and Research Consent Form.
ARME 10501,Introduction to Classical Armenian,100,,H. Haroutunian,
ARTH 14200,From Missionary Images to Image Explosion: Introduction to Medieval Art,100,,A. Kumler,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 14700,Building Renaissance Italy: A Survey of the Built Environment,100,,N. Atkinson,
ARTH 16709,"Islamic Art and Architecture, 1100 to 1500",100,"NEAA 10630,NEHC 16709",P. Berlekamp,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 14000 through 16999 course meets the general education requirement in the arts."
ARTH 17311,Art of the Book in the Middle Ages,100,,A. Kumler,"Students must attend first class to confirm enrollment. For nonmajors, any ARTH 17000 through 18999 course meets the general education requirement in the arts."
ARTH 23310,Renaissance Geographies: Travel and the Geographic Imagination,100,ARTH 33310,N. Atkinson,
ARTH 24110,Venetian Painting from Bellini to Titian,100,ARTH 34110,C. Cohen,
EALC 17211,Arts of Medieval Japan,100,ARTH 17211,C. Foxwell,
ENGL 15500,Chaucer: The Canterbury Tales,100,FNDL 25700,M. Miller,
ENGL 15600,Medieval English Literature,100,GNSE 15600,M. Miller,
FNDL 20700,"Aquinas on God, Being, and Human Nature",100,"CLCV 23712,RLST 23605",S. Meredith,Required of all incoming Fundamentals majors
FREN 22210,Introduction à la littérature arthurienne,100,FNDL 22211,D. Delogu,
HIST 12101,Comparative Kingship: Rulers in Twelfth-Century Europe,100,,J. Lyon,First-year students welcome.
HIST 21701,"Byzantine Empire, 330–610",100,"CLAS 34306,CLCV 24306,HIST 31701,ANCM 34306",W. Kaegi,
HIST 21702,"Byzantine Empire, 610–1025",100,"CLAS 34307,CLCV 24307,HIST 31702,NEHC 21702,NELC 31702,ANCM 34307",W. Kaegi,"Graduate students may register for grade of R (audit) or P (Pass) instead of a letter grade, except for History graduate students taking this as a required course."
HIST 22110,Renaissance Demonology,100,"CMLT 27602,RLST 26501,ITAL 26500",A. Maggi,Taught in English
HIST 22115,Carolingian Renaissance,100,"CLAS 32115,HIST 32115,RLST 21610,CLCV 22115",M. Allen,
HIST 25701,"North Africa, Late Antiquity to Islam",100,"CLAS 30200,CLCV 20200,CMES 30634,CRES 25701,HIST 35701,NEHC 20634,NEHC 30634",W. Kaegi,
HIST 25704,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 35704,ISLM 30500,RLST 20501,NEHC 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
HIST 25804,Islamic History and Society II: The Middle Period,100,"NEHC 30502,HIST 35804,ISLM 30600,NEHC 20502",J. Woods,
HIST 25904,Islamic History and Society III: The Modern Middle East,100,"HIST 35904,ISLM 30700,NEHC 30503,NEHC 20503",A. Shissler,This course does not apply to the medieval studies major or minor.
HIST 29902,Tolkien: Medieval and Modern,100,"FNDL 24901,RLST 22400",R. Fulton,
ITAL 22210,Italian Renaissance Epic,100,ITAL 32210,A. Maggi,
ITAL 22600,The Making and Unmaking of Petrarch's Canzoniere,100,"ITAL 32600,REMS 32600,FNDL 22601",J. Steinberg,Taught in English.
ITAL 26200,Renaissance and Baroque Fairytales and Their Modern Rewritings,100,"ITAL 36200,CMLT 26700,CMLT 36700,REMS 36200",A. Maggi,Class conducted in English.
ITAL 29600,The Worlds of Harlequin: Commedia Dell’arte,100,"TAPS 28480,ITAL 39610",R. Rubini,Language to be determined by class makeup
NEAA 20501,Introduction to Islamic Archaeology,100,NEAA 30501,D. Whitcomb,
NEHC 20501,Islamic History and Society I: The Rise of Islam and the Caliphate,100,"NEHC 30501,HIST 25704,HIST 35704,ISLM 30500,RLST 20501",F. Donner,Taking these courses in sequence is recommended but not required. This sequence meets the general eduation requirement in civilization studies.
NEHC 20502,Islamic History and Society II: The Middle Period,100,"NEHC 30502,HIST 25804,HIST 35804,ISLM 30600",J. Woods,
NEHC 20503,Islamic History and Society III: The Modern Middle East,100,"HIST 25904,HIST 35904,ISLM 30700,NEHC 30503",A. Shissler,This course does not apply to the medieval studies major or minor.
NEHC 20601,Islamic Thought and Literature I,100,"NEHC 30601,RLST 20401,SOSC 22000,HIST 25610,HIST 35610,ISLM 30601",A. El Shamsy,
NEHC 20602,Islamic Thought and Literature II,100,"NEHC 30602,RLST 20402,SOSC 22100,ISLM 30602,CMES 30602",F. Lewis,Taking these courses in sequence is recommended but not required. This sequence meets the general education requirement in civilization studies.
NEHC 20603,Islamic Thought and Literature III,100,"NEHC 30603,RLST 20403,SOSC 22200",A. El Shamsy,This course does not apply to the medieval studies major or minor.
NEHC 26016,The Medieval Persian Romance: Gorgani's Vis and Ramin,100,"CMLT 26106,GNSE 26106,RLLT 26106,FNDL 26106",C. Cross,
PERS 20006,"Survey of Persian Poetry, 10th to 15th Century",100,PERS 30006,F. Lewis,"Will cross list with SALC, Divinity, CMLT"
RLST 21107,Readings in Maimonides' Guide of the Perplexed,100,"ISLM 45400,FNDL 24106,RLIT 45402,NEHC 40470,JWSC 21107,HREL 45401,HIJD 45400",James Robinson,
RLST 25903,Judah Halevi's Kuzari,100,"ISLM 45712,FNDL 25903,SCTH 45712,HIJD 45712",James Robinson and Ralph Lerner,
SPAN 21703,Introducción a las literaturas hispánicas: textos españoles clásicos,100,,F. de Armas,
GRMN 10100,Elementary German for Beginners I,100,,,No auditors permitted. Must be taken for quality grade.
GRMN 10200,Elementary German for Beginners II,100,,,No auditors permitted. Must be taken for quality grade.
GRMN 10201,Elementary German II,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 10300,Elementary German for Beginners III,100,,,No auditors permitted. Must be taken for quality grade.
GRMN 13100,Reading German,100,,,Prior knowledge of German not required. No auditors permitted. This course does not prepare students for the competency exam. Must be taken for a quality grade.
GRMN 20100,Deutsche Märchen,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 20200,Deutsch-Amerikanische Themen,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 20300,Kurzprosa aus dem 20. Jahrhundert,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 21103,Erzählen,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 21203,Drama und Film,100,,,No auditors permitted. Must be taken for a quality grade.
GRMN 21303,Gedicht,100,,Staff,No auditors permitted. Must be taken for a quality grade.
GRMN 21403,Philosophie,100,,,No auditors permitted.  Must be taken for a quality grade.
GRMN 23715,Berlin in Fragments,100,,C. Benert,Readings and discussions in German.
GRMN 24016,Queer Theory and Literature Around 1900,100,,S. Haswell Todd,
GRMN 24916,Becoming Nothing,100,,M. Lampert,Readings and discussions in German.
GRMN 25516,Dwelling: Literature and Architecture,100,,I. Christian,This course will take place in conjunction with a conference on “Literary Habitation” organized in the Autumn Quarter.
GRMN 25817,W. G. Sebald: On The Natural History of Destruction,100,"GRMN 35817,FNDL 25817",E. Santner,"Texts will be available in English and German, discussion will be held in English. We will “accompany” our reading of Sebald with a reading of Lucretius’s poem, On Nature."
GRMN 26816,Authority and Enjoyment,100,GRMN 36816,A. Schuster,"Readings will include: Walter Benjamin on language and judgment; Hannah Arendt on the crisis of authority; Alexandre Kojève’s The Notion of Authority which analyzes its four ideal types (Father, Judge, Leader, Master); Jean Genet’s play The Balcony, dealing with the comedy of modern authority; the fantastical figure of the father in the work of Franz Kafka; and the vicissitudes of the Oedipus complex in psychoanalytic theory, focusing on Sigmund Freud (Three Essays on the Theory of Sexuality) and Jacques Lacan (Seminar VIII Transference). We will also watch Lars Von Trier’s The Boss of It All, Andrey Zvyagintsev’s The Return, and Nicholas Ray’s Rebel Without a Cause."
GRMN 27517,"Metaphysics, Morbidity, & Modernity: Mann’s The Magic Mountain",100,"CMLT 27517,FNDL 27517",,This is a LECTURE course with discussion sections. All readings in English.
